Job.Latitude,Job.Longitude,Finance.LCOE,Job.Tech,Panel.EM,Panel.Irradiance,Panel.PVGen
-32,21,0.3238771484374365,NoEnhancment,1.0,472.9307478047068,1010.0021156249054
48,22,0.4646282464516228,NoEnhancment,1.0,346.86605961515755,750.3283081193042
43,26,0.4322079677656346,NoEnhancment,1.0,357.2139787594095,771.2803620906549
2,20,0.33610012216263074,NoEnhancment,1.0,446.084359456993,955.6818513975895
-14,26,0.3119600988806849,NoEnhancment,1.0,493.0839411107845,1048.3940338387476
11,26,0.2659977023318679,NoEnhancment,1.0,566.4578780744906,1229.7658446594335
-12,21,0.3190716772045415,NoEnhancment,1.0,472.0700906759907,1020.3274396786146
45,23,0.4185774871771858,NoEnhancment,1.0,379.93088320908765,806.2350425530881
39,22,0.3801170045493509,NoEnhancment,1.0,400.2360904127282,868.0087101703015
15,28,0.24951258575206056,NoEnhancment,1.0,594.1377654098645,1298.3755628170948
48,30,0.4677184334820157,NoEnhancment,1.0,363.38312167120375,736.032049675222
-34,20,0.3877948579193836,NoEnhancment,1.0,395.0131705226072,846.2707290714941
39,23,0.35007122502167337,NoEnhancment,1.0,433.0605278513029,945.4500676192827
-30,22,0.310467833929204,NoEnhancment,1.0,490.8414592662055,1053.9588777891472
13,25,0.2614955204288663,NoEnhancment,1.0,567.1860235197753,1248.584825055593
-7,29,0.3658721219416961,NoEnhancment,1.0,414.3398239600071,905.3777254770964
45,29,0.4050842303630821,NoEnhancment,1.0,391.60237304263046,837.1723690967717
48,27,0.4717762830395953,NoEnhancment,1.0,362.79009507171975,736.7222931725216
11,22,0.2705416018283891,NoEnhancment,1.0,561.2797592636023,1213.9096498644233
10,23,0.27742351005457044,NoEnhancment,1.0,549.2211642156864,1185.6250048283514
58,27,11.126271542194402,NoEnhancment,1.0,263.8774794454781,588.1773933849578
55,26,0.6772625374642631,NoEnhancment,1.0,282.44892445128085,600.9890038050038
3,21,0.3339210627992373,NoEnhancment,1.0,443.1534458133697,962.5037630017772
6,30,0.30359894772023266,NoEnhancment,1.0,509.07980439952456,1094.7996213777856
-5,30,0.3430108998267106,NoEnhancment,1.0,452.31810844742034,970.3576413589656
1,23,0.3527456121725258,NoEnhancment,1.0,426.5934225791542,913.590555636294
-6,23,0.3468907915886429,NoEnhancment,1.0,418.8049099931552,915.3103740959552
-5,22,0.3525113279096063,NoEnhancment,1.0,417.3687055669632,900.7972540870152
4,24,0.32108208859114257,NoEnhancment,1.0,475.9091598322461,1012.796458149914
-11,24,0.3334454632195247,NoEnhancment,1.0,445.8254986936074,973.7374977276417
-14,27,0.31125218036425234,NoEnhancment,1.0,493.71600211777167,1051.8952438369854
1,26,0.35847678570302943,NoEnhancment,1.0,429.1269792147805,922.223650461622
-15,30,0.3165816644409948,NoEnhancment,1.0,489.5600595049098,1033.9245739243688
-12,26,0.3261010044440833,NoEnhancment,1.0,469.99696856384537,1006.1388787432712
17,23,0.2451006768449097,NoEnhancment,1.0,614.4329040056888,1348.4822814907209
-18,30,0.30280494826562604,NoEnhancment,1.0,515.0260610248902,1076.4510794668456
47,20,0.4354570374040383,NoEnhancment,1.0,361.257257710032,788.8003365754033
4,24,0.32108208859114257,NoEnhancment,1.0,475.9091598322461,1012.796458149914
-17,30,0.3078552425786453,NoEnhancment,1.0,497.9868221297544,1059.7626051929017
8,24,0.28814846532327265,NoEnhancment,1.0,536.6733956043956,1145.066916187982
27,28,0.26013278385812577,NoEnhancment,1.0,576.1763163151402,1254.6454541853286
8,22,0.29315342488106244,NoEnhancment,1.0,518.5369232466327,1116.277877078742
52,30,0.5528412450835705,NoEnhancment,1.0,325.4947883402736,675.9743157763007
-8,30,0.3360073004120645,NoEnhancment,1.0,447.9824642538777,984.5540587497186
-29,24,0.3169130077884991,NoEnhancment,1.0,482.4382981322683,1033.9234459706593
