Job.Latitude,Job.Longitude,Panel.Irradiance
-2,24,"[8909 6181 5785 3921 4243 4121 4264 3261 4083 3821 3541 4227 3965 3347
 2984 2740 1980 1760 1620]"
-2,25,"[8846 5941 5786 4202 4442 4722 4103 3301 4023 3864 4404 3963 3926 3827
 2903 2221 1820 1700 1540]"
6,20,"[8372 3703 2381 3882 5246 3221 3261 2581 3526 3984 3541 4402 2904 4061
 4600 4648 3103 3802 3680]"
8,26,"[3882 4264 4605 3404 2260 2762 3442 4103 3381 2745 3182 3566 4625 3601
 3903 4643 6083 2782 4680]"
25,29,"[3864 2941 1940 3725 4180 3885 1480 2820 3785 4480 3925 3040 3181 6325
 6685 3080 3845 6045 3060]"
58,27,"[10729  7928  5341  4204  3547  3763  2906  2042  2122  2662  2422  1903
  1561  1821  1581  1221  1682  1261   841]"
48,22,"[11547  7569  5645  4206  3702  2584  3005  3542  2462  2243  2960  3162
  2341  2480  2661  2783  1960  2720  1781]"
28,28,"[3830 4420 2300 3080 3666 4544 1680 2900 3583 4365 4262 3260 3360 6166
 5804 2420 3944 6286 2563]"
-28,23,"[6740 4205 3445 4401 4080 3964 3605 4060 4124 5186 5220 4127 3667 3606
 3040 2600 2800 2940 1960]"
-30,24,"[5865 4741 4004 4200 3946 3885 4160 3984 5706 4882 4326 3090 3561 3080
 3080 2600 2940 2900 2340]"
-19,30,"[6407 4704 2661 3701 4385 3584 3321 3740 4001 3522 4067 4320 4463 5366
 4422 4067 3100 2900 3160]"
17,29,"[2962 2540 2060 6146 2384 1460 2640 2122 5805 2643 2240 2600 4763 4247
 3500 3260 7305 6145 7362]"
2,25,"[8423 4622 4745 4284 3882 4283 3164 3701 3443 3462 4386 4062 4544 4204
 3547 2882 2880 2420 2260]"
27,23,"[2600 3665 4320 2525 3620 2522 3943 3220 3685 2680 3605 4980 4303 4242
 4465 5700 3745 3185 5923]"
6,25,"[5203 3684 4406 3922 3100 3404 3263 3344 3702 3025 3584 3481 4180 3963
 4483 4742 4264 3143 4700]"
44,23,"[12008  6765  5103  4244  3384  2883  3042  3241  3081  2303  2482  3681
  3103  2083  2842  2180  2565  3362  3045]"
-3,23,"[8284 5501 6027 4683 3361 4243 4084 3362 3502 4203 4024 4642 4523 3729
 3044 2740 2140 1920 1440]"
-26,20,"[4700 4480 3390 3880 4620 3060 2990 3300 4540 4124 4006 5500 4550 4262
 3128 2600 3040 3720 2500]"
