Job.Latitude,Job.Longitude,Finance.LCOE
-21,22,0.0521690517767495
5,29,0.054658501624426
-21,29,0.0564962798140012
-30,21,0.0540814666029193
41,24,0.0704585156647552
1,26,0.0648308848684389
-27,29,0.0596678961816256
-10,23,0.058367760471624
-26,22,0.0527006064392638
-5,25,0.0634864667200979
18,24,0.0436273891289255
-16,28,0.0556694394492331
46,27,0.0802292419239581
-11,24,0.0597578440658957
27,23,0.0471307068745373
39,23,0.062952915853585
-15,23,0.0544197892180837
30,26,0.0484357097104565
46,23,0.0817242424755457
11,23,0.0478608651818563
-29,23,0.0559016992756955
13,25,0.0467358666982648
-12,23,0.0588694945871271
8,30,0.0531573357534287
9,27,0.0496588069002245
10,27,0.0491939949470968
42,28,0.0721724065793409
-24,25,0.0528681882394386
-27,21,0.0521912193275297
-16,29,0.0537874907042134
-32,27,0.0682576246405044
10,28,0.0499545672502507
-7,25,0.0632708973416926
11,25,0.0475495368195287
5,30,0.0554719874408102
30,24,0.0487080978112933
-31,29,0.071199070713715
-14,29,0.0564906183449292
-31,25,0.0596515372619308
-13,23,0.057356617225625
22,20,0.0451339384037404
11,28,0.0482118440934276
59,29,0.0976622386311326
18,20,0.0442704118258297
-34,21,0.0731104660143388
50,29,0.0900055769421925
49,29,0.0865789771246809
-30,28,0.0612855695045065
6,20,0.0545786381949513
42,20,0.077160702900573
-27,29,0.0596678961816256
6,27,0.0530250833857623
-34,22,0.0723737492367613
