,0,1,2,Generation,Fitness,Results
0x8317e0,92.5484052552728,0.0274158181458328,0.13755813987633966,G1,0.028421012205327764,0.4086620616529018
0xa8f955,128.1134165638783,0.10511253299240295,0.28849304026938555,G1,0.028002548980793508,0.4374951022638493
0x5cf86c,95.0613412180353,0.1455897926808153,0.29406608702044096,G1,0.026867255866796568,0.5157193058306874
0x1056b,26.21952616510032,0.11825796305514329,0.2727699962532892,G1,0.01792750597108831,1.1316878227333498
0xc5c684,182.96599999999998,0.0093,0.0,G2,0.02882912966950395,0.2662109019180334
0x806936,196.98,0.114,0.0,G2,0.02878548792628318,0.2754135624182258
0x2c9a5b,172.48,0.0385,0.0,G2,0.028782980040512274,0.27594239604446696
0x470d82,183.26,0.02,0.06,G2,0.02874747700004568,0.2834288620750703
0x5d385a,167.63373695723993,0.03546788177373635,0.048746323837602745,G2,0.028709441105817413,0.2914494266898543
0xd659f0,193.06,0.2,0.0,G2,0.02870928808313224,0.2914816943243832
0x9d0290,197.20617363870167,0.1907367202451684,0.014622225920704529,G2,0.0287076163632737,0.2918342070604523
0xd09ba1,125.44,0.005,0.0,G2,0.02863947438978307,0.3062031896346618
0xd103f6,175.52798750690937,0.08608734510016369,0.09042702248824923,G2,0.028634037020072754,0.3073497585790995
0xe5e63f,122.5,0.005,0.0,G2,0.028624774782907675,0.3093028708475823
0xd2cd66,74.22080219890748,0.0630487795936524,0.015595690011895369,G2,0.02812809159887639,0.4140376128965421
0xc31a9f,125.44129740595251,0.024318076794552543,0.03174911507457953,G2,0.02857962008613486,0.3188245653016112
0xfc7d9f,75.57784325287221,0.27879540869802205,0.19831240788263,G2,0.027434722868439176,0.5602471030945877
0x91790,18.573039471217243,0.010470180484601743,0.30552487663617034,G2,0.02311728106918291,1.4706587451525546
0x9ea7bb,221.66854746447453,0.05883529459446374,0.3895862295221074,G2,0.028178456724919015,0.4034172040445171
0x6302d7,91.82554932128622,0.038237355432045594,0.11126355956202746,G2,0.028188013168446335,0.4014020529785694
0x446228,113.58994748006141,0.04583833840466545,0.22323452642374284,G2,0.028136210049390025,0.4123256889826269
0x9872b3,35.07089135516371,0.005146136996087472,0.5029585202395572,G2,0.024391694726772134,1.2019252949722254
0x15a720,89.65073909884046,0.15554120147603748,0.4156733498362657,G2,0.027099529232615705,0.6309288175417851
0xe876bc,169.17063234129571,0.028658175296091812,0.2669079845221618,G2,0.028348640845426546,0.3675307667032788
0x36e9ae,121.6183915499005,0.09083673505058289,0.3156183550395951,G2,0.027912281366108738,0.459545151277432
