,0,1,2,3,Mothes,Fathers,Generation,Fitness,Results
0x3e864a,30.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0033020860483337438,0.0769806931741735
0xfdd096,30.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0033020860483337438,0.0769806931741735
0x8c843f,30.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0033020860483337438,0.0769806931741735
0xec25a1,30.0,0.02,0.01,204.8911618,0.0,0.0,G0,0.0033020860483337438,0.0769806931741735
0x553084,30.0,0.02,0.01,184.4020456,0.0,0.0,G0,0.0032113923228444933,0.08197885378721388
0xb928c9,30.0,0.02,0.01,225.38027799999998,0.0,0.0,G0,0.0033762898694993776,0.0728912965341477
0x1853c1,10.0,0.02,0.02,98.0,0.0,0.0,G0,0.00200409122404763,0.14851360872791872
0x972e67,9.0,0.02,0.01,98.0,0.0,0.0,G0,0.0018044161804421487,0.15951776511219165
0x82f262,11.0,0.02,0.01,98.0,0.0,0.0,G0,0.0021338389339987827,0.14136317037056068
0x3c7e01,10.0,0.02,0.02,98.0,0.0,0.0,G0,0.00200409122404763,0.14851360872791872
0x66e152,10.0,0.02,0.02,98.0,0.0,0.0,G0,0.00200409122404763,0.14851360872791872
0x7ab5,10.0,0.02,0.02,98.0,0.0,0.0,G0,0.00200409122404763,0.14851360872791872
0x4d4957,10.0,0.02,0.02,98.0,0.0,0.0,G0,0.00200409122404763,0.14851360872791872
0xeca541,10.0,0.02,0.02,98.0,0.0,0.0,G0,0.00200409122404763,0.14851360872791872
0x2ff4e,10.0,0.02,0.02,98.0,0.0,0.0,G0,0.00200409122404763,0.14851360872791872
0x8dd0c7,10.0,0.02,0.02,88.2,0.0,0.0,G0,0.0018021728109155477,0.15964139793406398
0xeb6c66,10.0,0.02,0.02,107.8,0.0,0.0,G0,0.0021692971334662738,0.1394090575029759
0xa5cbb6,20.0,0.02,0.01,98.0,0.0,0.0,G0,0.0024117844530676725,0.12604550270957302
0xffac0c,18.0,0.02,0.01,98.0,0.0,0.0,G0,0.0020981977218172123,0.14332736912814786
