PVSize,Latitude,Longitude
9,51.79416404,-3.943723644
14.8,51.61655563,-1.348033931
18.7,51.91282407,1.124052597
5,51.16102187,-1.536260773
49.6,51.37342911,-2.089668955
20.9,52.28875725,0.611033676
5,52.4056092,-0.561103851
1.8,52.76999502,0.387638869
3.2,50.81656698,-4.130001574
5,51.21422633,-1.069449709
7,50.68718737,-1.485467952
5,50.99449739,-2.602730328
5.2,50.92170663,-4.038671591
8.9,52.68948031,-2.944535844
8.2,51.05168959,-3.212617186
3.8,54.66875396,-5.942600566
4.8,50.74589682,-3.358715109
6,50.30688639,-5.015216422
1.5,51.04381695,-2.410687877
1.5,51.7752849,-4.137633982
2.4,57.56034951,-2.372285202
9.2,51.35192132,1.374467917
20.5,50.83132479,-1.196117912
1.4,52.96579093,-0.071693318
4.1,51.84516482,-0.647838628
4.8,50.63392114,-3.37109459
11.5,51.23486614,1.264874077
5,51.49820426,-2.090706609
6.6,51.19553352,-1.675204314
2,51.06053398,-3.197336798
5,52.34493839,0.166162747
5,51.67537636,-4.795876581
1.2,53.28939708,-3.032201871
7.6,51.56116409,-2.099429758
4,53.35644401,-0.995398598
3.5,50.98529073,-4.12244362
5.8,50.91794221,-1.232297246
1.5,50.69714181,-1.421983774
1.9,50.36169512,-3.941304543
4,50.56292419,-4.747871481
3.5,51.07664899,-3.262247206
4.9,52.96916824,-0.690683902
1.2,50.61022227,-4.270747653
1.8,51.04590306,-2.311879049
1.8,50.85453083,-3.408185745
1.4,50.83091014,-3.784436797
1.2,50.88605005,-4.215137323
1.5,50.91633435,-3.570678677
1,50.75238061,-4.277339138
4.5,50.9120736,-1.034065249
1.5,51.01933907,-2.99618901
4,50.92273064,-2.204449875
2,50.86449065,-3.227007635
21.3,51.81413056,0.936832975
5,51.90585377,0.602412673
6.3,50.42478543,-3.809332346
5,50.77260689,-2.950972379
1.5,53.5294809,-1.316489338
5.4,51.11467573,-0.978159686
11,51.48200144,-2.164952102
14,52.99935728,-2.596236552
8,52.04673576,1.284626409
10,50.73263798,-3.351232062
10.2,52.65686273,-2.729806386
5,51.72863261,-2.50743299
1.7,53.54059044,-1.031381138
5.8,52.63345197,-2.140590737
12,53.01988798,0.063250958
14.3,53.30390276,-0.993240469
12.4,52.96600557,-0.83238
